,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14A,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_22,BIS_22A,BIS_23,BIS_21,CREATED_DATE,UPDATED_DATE
712,2021-03-31,2021-05-05,Q,STB,N,0,7654848000000.0,-4646484000000.0,3008364000000.0,1335613000000.0,-498204000000.0,837409000000.0,207102000000.0,0.0,34354000000.0,84326000000.0,-26309000000.0,58017000000.0,93000000.0,4145339000000.0,-2669373000000.0,1475966000000.0,-475722000000.0,1000244000000.0,-199182000000.0,0.0,-199182000000.0,0.0,801062000000.0,0.0,801062000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
713,2021-03-31,2021-04-26,Q,TCB,N,0,8151157898509.0,-2027436576559.0,6123721321950.0,1706893667667.0,-381821618999.0,1325072048668.0,65620601824.0,134965015692.0,611531341570.0,1291293809967.0,-620022591056.0,671271218911.0,20768154.0,8932202316769.0,-2563082865920.0,6369119450849.0,-850817275006.0,5518302175843.0,-1042085154006.0,0.0,-1042085154006.0,79488145802.0,4396728876035.0,0.0,4476217021837.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
714,2021-03-31,2021-04-20,Q,TPB,N,0,4093460000000.0,-1829971000000.0,2263489000000.0,444924000000.0,-162668000000.0,282256000000.0,-2110000000.0,0.0,269985000000.0,142259000000.0,-157883000000.0,-15624000000.0,0.0,2797996000000.0,-984895000000.0,1813101000000.0,-391066000000.0,1422035000000.0,-284006000000.0,0.0,-284006000000.0,0.0,1138029000000.0,0.0,1138029000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
715,2021-03-31,2021-04-20,Q,VBB,N,0,1427768000000.0,-1190311000000.0,237457000000.0,31640000000.0,-11369000000.0,20271000000.0,9537000000.0,0.0,120830000000.0,27294000000.0,-227000000.0,27067000000.0,0.0,415162000000.0,-293216000000.0,121946000000.0,-3338000000.0,125284000000.0,-25607000000.0,0.0,-25607000000.0,0.0,99677000000.0,0.0,99677000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
716,2021-03-31,2021-04-29,Q,VCB,N,0,17201110000000.0,-7119377000000.0,10081733000000.0,4317820000000.0,-880039000000.0,3437781000000.0,1042270000000.0,80773000000.0,0.0,1136573000000.0,-124204000000.0,1012369000000.0,30670000000.0,15685596000000.0,-4779221000000.0,10906375000000.0,-2274909000000.0,8631466000000.0,-1724252000000.0,308000000.0,-1723944000000.0,-4944000000.0,6912466000000.0,1861.0,6907522000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
717,2021-03-31,,Q,VIB,Y,3,4990211000000.0,-2211826000000.0,2778385000000.0,802154000000.0,-193555000000.0,608599000000.0,8742000000.0,0.0,56068000000.0,69973000000.0,-20167000000.0,49806000000.0,0.0,3501600000000.0,-1360655000000.0,2140945000000.0,-334043000000.0,1806902000000.0,-360690000000.0,-360690000000.0,0.0,0.0,1446212000000.0,1220.0,1446212000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
718,2021-03-31,2021-04-20,Q,VPB,N,0,13338246263618.0,-4218355221040.0,9119891042578.0,1629959012533.0,-642472681397.0,987486331136.0,-43524507523.0,-49976565917.0,248941782188.0,1318509524833.0,-529851864189.0,788657660644.0,0.0,11051475743106.0,-2592034717635.0,8459441025471.0,-4453265419879.0,4006175605592.0,-804366442426.0,0.0,-804366442426.0,0.0,3201809163166.0,1304.0,3201809163166.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
719,2021-03-31,2021-05-07,Q,ABB,N,0,1602763023470.0,-914385113191.0,688377910279.0,108265521840.0,-53525971370.0,54739550470.0,103720738389.0,113726280000.0,-11029030086.0,56149215181.0,-6622569380.0,49526645801.0,0.0,999062094853.0,-400010252531.0,599051842322.0,-121099668272.0,477952174050.0,-2676921680.0,0.0,-2676921680.0,0.0,475275252370.0,0.0,475275252370.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
720,2021-06-30,,Q,ACB,Y,3,8653369000000.0,-3662982000000.0,4990387000000.0,1186356000000.0,-299977000000.0,886379000000.0,231524000000.0,91668000000.0,44709000000.0,174708000000.0,-195620000000.0,-20912000000.0,3462000000.0,6227217000000.0,-1592538000000.0,4634679000000.0,-1386245000000.0,3248434000000.0,-660199000000.0,-591994000000.0,-68205000000.0,0.0,2588235000000.0,673.0,2588235000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
721,2021-09-30,2021-10-07,Q,EVF,N,0,1277329000000.0,-702401000000.0,574928000000.0,98366000000.0,-70444000000.0,27922000000.0,-2466000000.0,0.0,85415000000.0,106396000000.0,-536000000.0,105860000000.0,8253000000.0,799912000000.0,-186648000000.0,613264000000.0,-318434000000.0,294830000000.0,-57256000000.0,0.0,-57256000000.0,0.0,237574000000.0,738000000.0,237574000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
