Entity,Symbol,Metric_Code,Prefix,Q2_2025_Has,Q3_2025_Has
COMPANY,HPG,CBS_413,CBS,Yes,No
COMPANY,HPG,CBS_414,CBS,Yes,No
COMPANY,HPG,CBS_415,CBS,Yes,No
COMPANY,HPG,CBS_416,CBS,Yes,No
COMPANY,HPG,CBS_417,CBS,Yes,No
COMPANY,HPG,CBS_419,CBS,Yes,No
COMPANY,HPG,CBS_4191,CBS,Yes,No
COMPANY,HPG,CBS_4192,CBS,Yes,No
COMPANY,HPG,CBS_420,CBS,Yes,No
COMPANY,HPG,CBS_422,CBS,Yes,No
COMPANY,HPG,CBS_4291,CBS,Yes,No
COMPANY,HPG,CBS_430,CBS,Yes,No
COMPANY,HPG,CBS_4301,CBS,Yes,No
COMPANY,HPG,CBS_431,CBS,Yes,No
COMPANY,HPG,CBS_432,CBS,Yes,No
COMPANY,HPG,CCFI_1,CCFI,Yes,No
COMPANY,HPG,CCFI_10,CCFI,Yes,No
COMPANY,HPG,CCFI_11,CCFI,Yes,No
COMPANY,HPG,CCFI_12,CCFI,Yes,No
COMPANY,HPG,CCFI_13,CCFI,Yes,No
COMPANY,HPG,CCFI_14,CCFI,Yes,No
COMPANY,HPG,CCFI_15,CCFI,Yes,No
COMPANY,HPG,CCFI_16,CCFI,Yes,No
COMPANY,HPG,CCFI_17,CCFI,Yes,No
COMPANY,HPG,CCFI_2,CCFI,Yes,No
COMPANY,HPG,CCFI_20,CCFI,Yes,No
COMPANY,HPG,CCFI_21,CCFI,Yes,No
COMPANY,HPG,CCFI_22,CCFI,Yes,No
COMPANY,HPG,CCFI_23,CCFI,Yes,No
COMPANY,HPG,CCFI_24,CCFI,Yes,No
COMPANY,HPG,CCFI_25,CCFI,Yes,No
COMPANY,HPG,CCFI_26,CCFI,Yes,No
COMPANY,HPG,CCFI_27,CCFI,Yes,No
COMPANY,HPG,CCFI_2B,CCFI,Yes,No
COMPANY,HPG,CCFI_3,CCFI,Yes,No
COMPANY,HPG,CCFI_30,CCFI,Yes,No
COMPANY,HPG,CCFI_31,CCFI,Yes,No
COMPANY,HPG,CCFI_32,CCFI,Yes,No
COMPANY,HPG,CCFI_33,CCFI,Yes,No
COMPANY,HPG,CCFI_34,CCFI,Yes,No
COMPANY,HPG,CCFI_35,CCFI,Yes,No
COMPANY,HPG,CCFI_36,CCFI,Yes,No
COMPANY,HPG,CCFI_37,CCFI,Yes,No
COMPANY,HPG,CCFI_4,CCFI,Yes,No
COMPANY,HPG,CCFI_40,CCFI,Yes,No
COMPANY,HPG,CCFI_4B,CCFI,Yes,No
COMPANY,HPG,CCFI_5,CCFI,Yes,No
COMPANY,HPG,CCFI_50,CCFI,Yes,No
COMPANY,HPG,CCFI_6,CCFI,Yes,No
COMPANY,HPG,CCFI_60,CCFI,Yes,No
COMPANY,HPG,CCFI_61,CCFI,Yes,No
