,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFD_1,ICFD_7,ICFD_8,ICFD_801,ICFD_9,ICFD_901,ICFD_902,ICFD_20,ICFD_25,ICFD_23,ICFD_231,ICFD_232,ICFD_24,ICFD_21,ICFD_22,ICFD_221,ICFD_222,ICFD_30,ICFD_32,ICFD_36,ICFD_31,ICFD_34,ICFD_341,ICFD_342,ICFD_35,ICFD_40,ICFD_50,ICFD_60,ICFD_601,ICFD_70,ICFD_2,ICFD_3,ICFD_4,ICFD_5,ICFD_6,ICFD_10,ICFD_11,ICFD_33,CREATED_DATE,UPDATED_DATE
34,2022-12-31,2023-03-03,Y,PRE,Y,0,815736756196.0,-55845552430.0,-43848373592.0,-2755126658.0,-49950399468.0,,,58269885492.0,-3339338308.0,,,,-1490102280000.0,1350255824497.0,174420695130.0,,,31234901319.0,588487320000.0,-114993037155.0,121667265940.0,-121667265940.0,,,,473494282845.0,562999069656.0,37995524279.0,505267274.0,601499861209.0,,1372592116.0,1289000000.0,-157232238873.0,-440723818163.0,-4410301000.0,-5362652636.0,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
35,2023-09-30,2023-10-20,Q,ABI,N,0,,-376064703602.0,-56507876550.0,,-21205560875.0,3118316044.0,-41002253839.0,9211123252.0,-10000634739.0,287000000.0,-476553000000.0,429102000000.0,,,39809963450.0,,,-17354671289.0,,,,,,,,,-8143548037.0,124037766907.0,,115894218870.0,,,500873202074.0,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
36,2022-09-30,,Q,AIC,N,3,936145093279.0,-1031317102065.0,-62259083016.0,0.0,-4724368884.0,10459116490.0,-55278785694.0,-206975129890.0,-1535941775.0,0.0,-93000007375.0,58000000000.0,0.0,121125000000.0,4033214334.0,0.0,0.0,88622265184.0,0.0,0.0,0.0,0.0,0.0,-6032310.0,0.0,-6032310.0,-118358897016.0,324692653443.0,703984.0,206334460411.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
37,2023-09-30,,Q,VNR,N,3,334607957366.0,-150730708163.0,-10530532481.0,0.0,-26551956158.0,6046759736.0,-7717843625.0,145123676675.0,-505866400.0,0.0,-355750000000.0,329044741989.0,0.0,0.0,37260506631.0,0.0,0.0,10049382220.0,0.0,0.0,0.0,0.0,0.0,-150338811450.0,0.0,-150338811450.0,4834247445.0,79894918219.0,527715600.0,85256881264.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
38,2022-12-31,,Q,MIG,N,3,1084749945367.0,-823238857546.0,-123740401580.0,-387967.0,-30872370041.0,12696732320.0,-93434599380.0,26160061173.0,0.0,0.0,-1186000000000.0,1142614437603.0,0.0,0.0,62299284065.0,0.0,0.0,18913721668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45073782841.0,46358742758.0,229874999.0,91662400598.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
39,2022-03-31,,Q,PRE,Y,3,145190953347.0,-8063066799.0,-14433391412.0,0.0,-20823894841.0,137074397.0,-118549639509.0,-16541964817.0,-90948000.0,0.0,0.0,0.0,-142000000000.0,82000000000.0,34768952818.0,0.0,0.0,-25321995182.0,0.0,0.0,21813379070.0,0.0,0.0,0.0,0.0,21813379070.0,-20050580929.0,37995524279.0,-37489881.0,17907453469.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
40,2018-12-31,,Q,AIC,N,3,136939473047.0,-77048491101.0,-42565644963.0,0.0,-164333886.0,32480807704.0,-38515848857.0,11125961944.0,-32500000.0,272000000.0,-280000211913.0,274028847137.0,-35000000000.0,0.0,13033195102.0,0.0,0.0,-27698669674.0,0.0,0.0,0.0,0.0,0.0,-14800000000.0,0.0,-14800000000.0,-31372707730.0,139292287753.0,-2428835.0,107917151188.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
41,2018-12-31,,Y,VASS,Y,12,,,,-4181341440.0,0.0,0.0,0.0,-150335488000.0,-883653184.0,150000000.0,-30000001024.0,36999999488.0,0.0,70000001024.0,3479922944.0,,,79746269184.0,0.0,0.0,253591748608.0,-134014623744.0,0.0,0.0,,119577116672.0,48987906048.0,17417525248.0,-298977664.0,66106449920.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
42,2019-06-30,,Q,BMI,Y,3,,,,15247400.0,-13148980224.0,0.0,13717821440.0,-6554569216.0,-912293376.0,419688128.0,-1215009259520.0,1207390044160.0,0.0,0.0,64767012864.0,,,56655114240.0,0.0,0.0,0.0,0.0,0.0,-109624844288.0,,-109624844288.0,-59524300800.0,349281943552.0,-411255456.0,289346387968.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
43,2019-03-31,,Q,BLI,N,3,251529409777.0,-161277565261.0,-41009157272.0,0.0,-7764836279.0,24255701.0,-31157641810.0,10344464856.0,-75000000.0,300.0,-5284743926836.0,5000593965346.0,0.0,0.0,29620655982.0,0.0,0.0,-254604305208.0,0.0,0.0,0.0,0.0,0.0,-81686614.0,0.0,-81686614.0,-244341526966.0,467529651751.0,0.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
44,2020-12-31,,Q,ABI,N,3,498859195526.0,-352653092452.0,-66907390235.0,0.0,-17844391597.0,5047081549.0,-29771920211.0,36729482580.0,-8891136683.0,319090909.0,-268000000000.0,179000000000.0,0.0,0.0,43010945282.0,0.0,0.0,-54561100492.0,0.0,0.0,0.0,0.0,0.0,-24400000.0,0.0,-24400000.0,-17856017912.0,76334641819.0,0.0,58478623907.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
45,2018-12-31,,Y,BMI,Y,12,,,,0.0,-38426783744.0,0.0,-60360474624.0,-82330157056.0,-3596618240.0,198172720.0,-2086370934784.0,2069523333120.0,0.0,0.0,171830657024.0,,,151584718848.0,0.0,0.0,0.0,0.0,0.0,-91354038272.0,,-91354038272.0,-22099480576.0,183614226432.0,-197121856.0,161317634048.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
