symbol,entry,exit,pnl,days
DHT,2025-07-17,2025-08-26,-5.128640776699029,40
DHT,2025-10-23,2025-11-03,-4.631982077821304,11
HVH,2023-02-21,2023-02-28,-6.108597285067873,7
HVH,2023-03-10,2023-05-04,9.417040358744394,55
HVH,2023-05-12,2023-07-06,0.3780718336483932,55
HVH,2023-07-11,2023-08-24,3.4926470588235294,44
HVH,2023-08-31,2023-09-05,-2.083333333333333,5
HVH,2023-11-23,2023-11-24,-3.481624758220503,1
HVH,2024-02-27,2024-03-18,-3.361344537815126,20
HVH,2024-05-02,2024-08-12,53.48360655737705,102
HVH,2024-08-19,2024-09-10,-6.81265206812652,22
HVH,2024-10-17,2024-10-29,-7.627118644067797,12
HVH,2024-11-11,2024-11-13,-5.056890012642225,2
HVH,2025-01-15,2025-02-12,-2.1252796420581657,28
HVH,2025-02-19,2025-02-27,-6.8205666316894025,8
HVH,2025-03-24,2025-06-25,43.75655823714585,93
HVH,2025-06-26,2025-07-30,-4.285714285714286,34
HVH,2025-08-25,2025-08-29,-8.813559322033898,4
HVH,2025-10-28,2025-11-03,-7.446808510638298,6
VGR,2023-02-20,2023-04-05,-13.28735632183908,44
VGR,2023-04-13,2023-04-19,-18.547750591949487,6
VGR,2023-05-10,2023-06-15,-12.069647803719825,36
VGR,2023-06-27,2023-08-24,-9.85691573926868,58
VGR,2023-10-06,2023-10-11,-5.729166666666666,5
VGR,2024-06-10,2024-07-15,-2.504057500579643,35
VGR,2024-09-05,2024-09-06,-1.0208926875593543,1
VGR,2024-09-09,2024-09-13,-1.2148642210576466,4
VGR,2024-09-16,2024-10-31,3.0101919886228963,45
VGR,2025-01-03,2025-04-09,8.963523131672597,96
VGR,2025-04-14,2025-05-19,-1.9741985926505081,35
VGR,2025-07-01,2025-08-29,12.635135135135133,59
VGR,2025-09-04,2025-09-09,-1.5269861374991205,5
HVN,2023-03-10,2023-04-14,-12.192902638762511,35
HVN,2023-05-22,2023-07-11,3.4965034965034967,50
HVN,2023-08-09,2023-08-18,-11.506849315068493,9
HVN,2023-11-23,2023-12-13,-2.6936026936026933,20
HVN,2023-12-25,2024-07-18,139.20086393088553,206
HVN,2024-10-29,2025-01-10,21.79930795847751,73
HVN,2025-02-06,2025-02-10,-3.091832025842178,4
HVN,2025-02-11,2025-04-08,-3.9613081529249197,56
HVN,2025-04-14,2025-07-11,19.04181892001624,88
HVN,2025-09-11,2025-10-20,-0.911854103343465,39
VTZ,2023-03-10,2023-03-29,-14.75826972010178,19
VTZ,2023-04-05,2023-05-25,-6.455542021924482,50
VTZ,2023-05-29,2023-06-14,-4.263093788063337,16
VTZ,2023-07-12,2023-07-21,-8.647990255785627,9
VTZ,2023-08-08,2023-08-16,-5.597014925373124,8
VTZ,2023-11-07,2023-12-14,-2.459016393442623,37
VTZ,2024-01-25,2024-01-26,-1.2448132780082988,1
VTZ,2024-01-30,2024-01-31,-1.2448132780082988,1
VTZ,2024-02-06,2024-02-07,-1.2448132780082988,1
VTZ,2024-02-15,2024-02-23,-1.2448132780082988,8
VTZ,2024-02-26,2024-02-27,-1.2448132780082988,1
VTZ,2024-03-01,2024-03-04,-1.2448132780082988,3
VTZ,2024-03-05,2024-10-30,122.68326417704014,239
VTZ,2024-11-26,2025-01-07,0.5988023952095809,42
VTZ,2025-01-23,2025-02-12,-1.744186046511628,20
VTZ,2025-02-20,2025-03-06,-1.7142857142857144,14
VTZ,2025-03-07,2025-03-14,-1.7142857142857144,7
